P4 sweep: 1542 jobs total, 0 already done; workers=24, cap=$100.0
== P1-fever: 672/672 jobs to run
[26/1542] P1-fever relay/vanilla/feverc_003 outcome=wrong_confident run=$0.015 sweep=$0.20
[27/1542] P1-fever relay/vanilla/feverc_045 outcome=correct run=$0.006 sweep=$0.20
[28/1542] P1-fever relay/vanilla/feverc_047 outcome=correct run=$0.006 sweep=$0.22
[29/1542] P1-fever relay/full/feverc_000 outcome=correct run=$0.008 sweep=$0.23
[30/1542] P1-fever relay/full/feverc_004 outcome=correct run=$0.009 sweep=$0.32
[31/1542] P1-fever relay/vanilla/feverc_021 outcome=correct run=$0.031 sweep=$0.32
[32/1542] P1-fever relay/vanilla/feverc_004 outcome=correct run=$0.030 sweep=$0.36
[33/1542] P1-fever relay/full/feverc_006 outcome=correct run=$0.006 sweep=$0.36
[34/1542] P1-fever relay/full/feverc_005 outcome=wrong_confident run=$0.008 sweep=$0.36
[35/1542] P1-fever relay/vanilla/feverc_038 outcome=wrong_confident run=$0.025 sweep=$0.40
[36/1542] P1-fever relay/vanilla/feverc_036 outcome=correct run=$0.031 sweep=$0.47
[37/1542] P1-fever relay/vanilla/feverc_024 outcome=correct run=$0.033 sweep=$0.47
[38/1542] P1-fever relay/full/feverc_007 outcome=correct run=$0.008 sweep=$0.47
[39/1542] P1-fever relay/full/feverc_009 outcome=correct run=$0.004 sweep=$0.48
[40/1542] P1-fever relay/full/feverc_013 outcome=correct run=$0.003 sweep=$0.54
[41/1542] P1-fever relay/full/feverc_010 outcome=correct run=$0.008 sweep=$0.60
[42/1542] P1-fever relay/full/feverc_011 outcome=wrong_confident run=$0.008 sweep=$0.60
[43/1542] P1-fever relay/vanilla/feverc_044 outcome=correct run=$0.030 sweep=$0.60
[44/1542] P1-fever relay/full/feverc_016 outcome=correct run=$0.002 sweep=$0.61
[45/1542] P1-fever relay/vanilla/feverc_012 outcome=wrong_confident run=$0.032 sweep=$0.61
[46/1542] P1-fever relay/vanilla/feverc_033 outcome=correct run=$0.032 sweep=$0.65
[47/1542] P1-fever relay/full/feverc_020 outcome=wrong_confident run=$0.001 sweep=$0.65
[48/1542] P1-fever relay/vanilla/feverc_032 outcome=wrong_confident run=$0.038 sweep=$0.65
[49/1542] P1-fever relay/full/feverc_017 outcome=wrong_confident run=$0.008 sweep=$0.72
[50/1542] P1-fever relay/vanilla/feverc_001 outcome=correct run=$0.032 sweep=$0.72
[51/1542] P1-fever relay/vanilla/feverc_029 outcome=wrong_confident run=$0.046 sweep=$0.79
[52/1542] P1-fever relay/full/feverc_002 outcome=wrong_confident run=$0.034 sweep=$0.85
[53/1542] P1-fever relay/full/feverc_022 outcome=correct run=$0.007 sweep=$0.93
[54/1542] P1-fever relay/full/feverc_028 outcome=correct run=$0.003 sweep=$0.96
[55/1542] P1-fever relay/full/feverc_026 outcome=wrong_confident run=$0.006 sweep=$0.96
[56/1542] P1-fever relay/full/feverc_001 outcome=correct run=$0.040 sweep=$1.02
[57/1542] P1-fever relay/vanilla/feverc_010 outcome=correct run=$0.010 sweep=$1.03
[58/1542] P1-fever relay/full/feverc_032 outcome=wrong_confident run=$0.006 sweep=$1.03
[59/1542] P1-fever relay/full/feverc_031 outcome=correct run=$0.015 sweep=$1.05
[60/1542] P1-fever relay/full/feverc_034 outcome=correct run=$0.006 sweep=$1.06
[61/1542] P1-fever relay/vanilla/feverc_008 outcome=wrong_confident run=$0.040 sweep=$1.07
[62/1542] P1-fever relay/full/feverc_014 outcome=wrong_confident run=$0.003 sweep=$1.07
[63/1542] P1-fever relay/full/feverc_037 outcome=correct run=$0.002 sweep=$1.07
[64/1542] P1-fever relay/full/feverc_021 outcome=correct run=$0.004 sweep=$1.11
[65/1542] P1-fever relay/full/feverc_024 outcome=correct run=$0.006 sweep=$1.12
[66/1542] P1-fever relay/full/feverc_033 outcome=correct run=$0.037 sweep=$1.12
[67/1542] P1-fever relay/full/feverc_023 outcome=wrong_confident run=$0.009 sweep=$1.13
[68/1542] P1-fever relay/full/feverc_041 outcome=correct run=$0.003 sweep=$1.13
[69/1542] P1-fever relay/vanilla/feverc_005 outcome=wrong_confident run=$0.043 sweep=$1.15
[70/1542] P1-fever relay/full/feverc_043 outcome=correct run=$0.006 sweep=$1.16
[71/1542] P1-fever relay/vanilla/feverc_042 outcome=correct run=$0.036 sweep=$1.16
[72/1542] P1-fever relay/full/feverc_019 outcome=wrong_confident run=$0.022 sweep=$1.16
[73/1542] P1-fever relay/full/feverc_044 outcome=correct run=$0.003 sweep=$1.16
[74/1542] P1-fever relay/full/feverc_003 outcome=wrong_confident run=$0.052 sweep=$1.22
[75/1542] P1-fever relay/vanilla/feverc_025 outcome=correct run=$0.039 sweep=$1.22
[76/1542] P1-fever relay/full/feverc_030 outcome=correct run=$0.009 sweep=$1.25
[77/1542] P1-fever relay/full/feverc_008 outcome=wrong_confident run=$0.033 sweep=$1.25
[78/1542] P1-fever relay/full/feverc_029 outcome=wrong_confident run=$0.012 sweep=$1.25
[79/1542] P1-fever relay/full/feverc_045 outcome=correct run=$0.007 sweep=$1.25
[80/1542] P1-fever relay/sop/feverc_001 outcome=correct run=$0.007 sweep=$1.26
[81/1542] P1-fever relay/sop/feverc_000 outcome=correct run=$0.006 sweep=$1.26
[82/1542] P1-fever relay/full/feverc_046 outcome=wrong_confident run=$0.009 sweep=$1.27
[83/1542] P1-fever relay/sop/feverc_009 outcome=correct run=$0.006 sweep=$1.31
[84/1542] P1-fever relay/full/feverc_035 outcome=wrong_confident run=$0.033 sweep=$1.32
[85/1542] P1-fever relay/sop/feverc_006 outcome=correct run=$0.007 sweep=$1.32
[86/1542] P1-fever relay/sop/feverc_007 outcome=correct run=$0.003 sweep=$1.32
[87/1542] P1-fever relay/sop/feverc_010 outcome=correct run=$0.005 sweep=$1.35
[88/1542] P1-fever relay/sop/feverc_004 outcome=correct run=$0.009 sweep=$1.35
[89/1542] P1-fever relay/sop/feverc_013 outcome=correct run=$0.005 sweep=$1.39
[90/1542] P1-fever relay/sop/feverc_014 outcome=wrong_confident run=$0.001 sweep=$1.39
[91/1542] P1-fever relay/sop/feverc_011 outcome=wrong_confident run=$0.006 sweep=$1.47
[92/1542] P1-fever relay/full/feverc_039 outcome=correct run=$0.031 sweep=$1.47
[93/1542] P1-fever relay/sop/feverc_015 outcome=correct run=$0.008 sweep=$1.57
[94/1542] P1-fever relay/sop/feverc_017 outcome=wrong_confident run=$0.007 sweep=$1.64
[95/1542] P1-fever relay/full/feverc_036 outcome=correct run=$0.035 sweep=$1.64
[96/1542] P1-fever relay/sop/feverc_016 outcome=correct run=$0.007 sweep=$1.64
[97/1542] P1-fever relay/sop/feverc_020 outcome=wrong_confident run=$0.003 sweep=$1.68
[98/1542] P1-fever relay/full/feverc_038 outcome=wrong_confident run=$0.035 sweep=$1.68
[99/1542] P1-fever relay/sop/feverc_022 outcome=correct run=$0.003 sweep=$1.68
[100/1542] P1-fever relay/full/feverc_040 outcome=correct run=$0.032 sweep=$1.70
[101/1542] P1-fever relay/sop/feverc_018 outcome=correct run=$0.007 sweep=$1.70
[102/1542] P1-fever relay/vanilla/feverc_017 outcome=wrong_confident run=$0.088 sweep=$1.70
[103/1542] P1-fever relay/sop/feverc_023 outcome=wrong_confident run=$0.007 sweep=$1.80
[104/1542] P1-fever relay/full/feverc_015 outcome=correct run=$0.065 sweep=$1.80
[105/1542] P1-fever relay/sop/feverc_021 outcome=correct run=$0.006 sweep=$1.80
[106/1542] P1-fever relay/sop/feverc_028 outcome=correct run=$0.005 sweep=$1.80
[107/1542] P1-fever relay/sop/feverc_027 outcome=correct run=$0.005 sweep=$1.84
[108/1542] P1-fever relay/full/feverc_027 outcome=correct run=$0.057 sweep=$1.91
[109/1542] P1-fever relay/sop/feverc_025 outcome=correct run=$0.007 sweep=$1.91
[110/1542] P1-fever relay/full/feverc_012 outcome=wrong_confident run=$0.066 sweep=$1.91
[111/1542] P1-fever relay/sop/feverc_032 outcome=wrong_confident run=$0.006 sweep=$1.94
[112/1542] P1-fever relay/sop/feverc_029 outcome=wrong_confident run=$0.008 sweep=$1.94
[113/1542] P1-fever relay/sop/feverc_026 outcome=wrong_confident run=$0.006 sweep=$1.94
[114/1542] P1-fever relay/sop/feverc_030 outcome=correct run=$0.006 sweep=$1.95
[115/1542] P1-fever relay/sop/feverc_041 outcome=correct run=$0.005 sweep=$1.96
[116/1542] P1-fever relay/sop/feverc_040 outcome=correct run=$0.007 sweep=$1.97
[117/1542] P1-fever relay/sop/feverc_042 outcome=correct run=$0.009 sweep=$1.98
[118/1542] P1-fever relay/sop/feverc_043 outcome=correct run=$0.007 sweep=$1.98
[119/1542] P1-fever relay/full/feverc_025 outcome=correct run=$0.010 sweep=$1.98
[120/1542] P1-fever relay/sop/feverc_045 outcome=correct run=$0.006 sweep=$2.00
[121/1542] P1-fever relay/sop/feverc_044 outcome=correct run=$0.005 sweep=$2.00
[122/1542] P1-fever relay/vanilla/feverc_046 outcome=wrong_confident run=$0.040 sweep=$2.00
[123/1542] P1-fever relay/sop/feverc_047 outcome=correct run=$0.005 sweep=$2.02
[124/1542] P1-fever relay/sop/feverc_046 outcome=wrong_confident run=$0.010 sweep=$2.04
[125/1542] P1-fever relay/down/feverc_000 outcome=correct run=$0.007 sweep=$2.04
[126/1542] P1-fever relay/down/feverc_001 outcome=correct run=$0.008 sweep=$2.04
[127/1542] P1-fever relay/sop/feverc_008 outcome=wrong_confident run=$0.005 sweep=$2.05
[128/1542] P1-fever relay/down/feverc_006 outcome=correct run=$0.010 sweep=$2.12
[129/1542] P1-fever relay/down/feverc_007 outcome=correct run=$0.008 sweep=$2.20
[130/1542] P1-fever relay/vanilla/feverc_041 outcome=correct run=$0.066 sweep=$2.24
[131/1542] P1-fever relay/full/feverc_042 outcome=correct run=$0.067 sweep=$2.24
[132/1542] P1-fever relay/down/feverc_009 outcome=correct run=$0.001 sweep=$2.24
[133/1542] P1-fever relay/down/feverc_004 outcome=correct run=$0.033 sweep=$2.24
[134/1542] P1-fever relay/down/feverc_003 outcome=correct run=$0.030 sweep=$2.35
[135/1542] P1-fever relay/full/feverc_018 outcome=correct run=$0.040 sweep=$2.37
[136/1542] P1-fever relay/sop/feverc_031 outcome=correct run=$0.012 sweep=$2.37
[137/1542] P1-fever relay/sop/feverc_034 outcome=correct run=$0.005 sweep=$2.38
[138/1542] P1-fever relay/down/feverc_008 outcome=wrong_confident run=$0.008 sweep=$2.41
[139/1542] P1-fever relay/sop/feverc_003 outcome=correct run=$0.036 sweep=$2.41
[140/1542] P1-fever relay/sop/feverc_019 outcome=correct run=$0.020 sweep=$2.41
[141/1542] P1-fever relay/sop/feverc_036 outcome=correct run=$0.008 sweep=$2.46
[142/1542] P1-fever relay/down/feverc_013 outcome=correct run=$0.007 sweep=$2.46
[143/1542] P1-fever relay/down/feverc_020 outcome=wrong_confident run=$0.001 sweep=$2.46
[144/1542] P1-fever relay/down/feverc_022 outcome=correct run=$0.001 sweep=$2.53
[145/1542] P1-fever relay/full/feverc_047 outcome=correct run=$0.068 sweep=$2.53
[146/1542] P1-fever relay/sop/feverc_012 outcome=correct run=$0.057 sweep=$2.53
[147/1542] P1-fever relay/down/feverc_014 outcome=wrong_confident run=$0.009 sweep=$2.53
[148/1542] P1-fever relay/down/feverc_016 outcome=correct run=$0.009 sweep=$2.53
[149/1542] P1-fever relay/vanilla/feverc_043 outcome=correct run=$0.106 sweep=$2.67
[150/1542] P1-fever relay/down/feverc_023 outcome=wrong_confident run=$0.007 sweep=$2.70
[151/1542] P1-fever relay/down/feverc_028 outcome=correct run=$0.006 sweep=$2.72
[152/1542] P1-fever relay/sop/feverc_002 outcome=wrong_confident run=$0.049 sweep=$2.72
[153/1542] P1-fever relay/down/feverc_005 outcome=wrong_confident run=$0.047 sweep=$2.82
[154/1542] P1-fever relay/sop/feverc_033 outcome=correct run=$0.057 sweep=$2.95
[155/1542] P1-fever relay/sop/feverc_038 outcome=wrong_confident run=$0.032 sweep=$2.95
[156/1542] P1-fever relay/sop/feverc_035 outcome=wrong_confident run=$0.034 sweep=$3.05
[157/1542] P1-fever relay/down/feverc_034 outcome=correct run=$0.003 sweep=$3.06
[158/1542] P1-fever relay/down/feverc_033 outcome=correct run=$0.008 sweep=$3.13
[159/1542] P1-fever relay/sop/feverc_005 outcome=wrong_confident run=$0.085 sweep=$3.30
[160/1542] P1-fever relay/down/feverc_026 outcome=wrong_confident run=$0.035 sweep=$3.30
[161/1542] P1-fever relay/sop/feverc_039 outcome=correct run=$0.034 sweep=$3.30
[162/1542] P1-fever relay/down/feverc_011 outcome=wrong_confident run=$0.044 sweep=$3.30
[163/1542] P1-fever relay/sop/feverc_024 outcome=correct run=$0.006 sweep=$3.55
[164/1542] P1-fever relay/down/feverc_041 outcome=correct run=$0.007 sweep=$3.55
[165/1542] P1-fever relay/down/feverc_010 outcome=correct run=$0.047 sweep=$3.56
[166/1542] P1-fever relay/down/feverc_039 outcome=correct run=$0.016 sweep=$3.69
[167/1542] P1-fever relay/down/feverc_032 outcome=wrong_confident run=$0.038 sweep=$3.69
[168/1542] P1-fever relay/sop/feverc_037 outcome=correct run=$0.064 sweep=$3.73
[169/1542] P1-fever relay/down/feverc_021 outcome=correct run=$0.046 sweep=$3.73
[170/1542] P1-fever relay/down/feverc_044 outcome=correct run=$0.010 sweep=$3.73
[171/1542] P1-fever relay/down/feverc_002 outcome=wrong_confident run=$0.097 sweep=$3.78
[172/1542] P1-fever relay/board/feverc_001 outcome=correct run=$0.008 sweep=$3.79
[173/1542] P1-fever relay/board/feverc_000 outcome=correct run=$0.008 sweep=$3.83
[174/1542] P1-fever relay/down/feverc_037 outcome=correct run=$0.033 sweep=$3.98
[175/1542] P1-fever relay/down/feverc_025 outcome=correct run=$0.063 sweep=$4.03
[176/1542] P1-fever relay/board/feverc_005 outcome=wrong_confident run=$0.010 sweep=$4.17
[177/1542] P1-fever relay/board/feverc_003 outcome=correct run=$0.028 sweep=$4.17
[178/1542] P1-fever relay/down/feverc_024 outcome=correct run=$0.065 sweep=$4.17
[179/1542] P1-fever relay/board/feverc_006 outcome=correct run=$0.006 sweep=$4.19
[180/1542] P1-fever relay/board/feverc_007 outcome=correct run=$0.007 sweep=$4.30
[181/1542] P1-fever relay/board/feverc_008 outcome=wrong_confident run=$0.007 sweep=$4.30
[182/1542] P1-fever relay/down/feverc_017 outcome=wrong_confident run=$0.077 sweep=$4.31
[183/1542] P1-fever relay/board/feverc_010 outcome=correct run=$0.008 sweep=$4.33
[184/1542] P1-fever relay/board/feverc_013 outcome=correct run=$0.006 sweep=$4.39
[185/1542] P1-fever relay/down/feverc_043 outcome=correct run=$0.043 sweep=$4.39
[186/1542] P1-fever relay/board/feverc_014 outcome=wrong_confident run=$0.006 sweep=$4.39
[187/1542] P1-fever relay/board/feverc_016 outcome=correct run=$0.007 sweep=$4.57
[188/1542] P1-fever relay/down/feverc_029 outcome=wrong_confident run=$0.075 sweep=$4.62
[189/1542] P1-fever relay/board/feverc_004 outcome=correct run=$0.035 sweep=$4.62
[190/1542] P1-fever relay/board/feverc_015 outcome=correct run=$0.011 sweep=$4.62
[191/1542] P1-fever relay/board/feverc_021 outcome=correct run=$0.007 sweep=$4.70
[192/1542] P1-fever relay/board/feverc_020 outcome=wrong_confident run=$0.007 sweep=$4.70
[193/1542] P1-fever relay/down/feverc_036 outcome=correct run=$0.046 sweep=$4.80
[194/1542] P1-fever relay/down/feverc_015 outcome=wrong_confident run=$0.080 sweep=$4.80
[195/1542] P1-fever relay/down/feverc_012 outcome=wrong_confident run=$0.110 sweep=$4.85
[196/1542] P1-fever relay/board/feverc_002 outcome=wrong_confident run=$0.040 sweep=$4.85
[197/1542] P1-fever relay/down/feverc_019 outcome=correct run=$0.106 sweep=$4.85
[198/1542] P1-fever relay/board/feverc_009 outcome=correct run=$0.032 sweep=$4.91
[199/1542] P1-fever relay/board/feverc_022 outcome=correct run=$0.007 sweep=$4.91
[200/1542] P1-fever relay/board/feverc_023 outcome=wrong_confident run=$0.007 sweep=$4.91
[201/1542] P1-fever relay/board/feverc_024 outcome=correct run=$0.007 sweep=$4.91
[202/1542] P1-fever relay/board/feverc_017 outcome=wrong_confident run=$0.016 sweep=$4.94
[203/1542] P1-fever relay/board/feverc_028 outcome=correct run=$0.006 sweep=$4.94
[204/1542] P1-fever relay/board/feverc_025 outcome=correct run=$0.008 sweep=$4.94
[205/1542] P1-fever relay/down/feverc_042 outcome=correct run=$0.050 sweep=$4.94
[206/1542] P1-fever relay/down/feverc_045 outcome=correct run=$0.044 sweep=$4.97
[207/1542] P1-fever relay/down/feverc_018 outcome=correct run=$0.080 sweep=$4.97
[208/1542] P1-fever relay/board/feverc_026 outcome=wrong_confident run=$0.009 sweep=$4.97
[209/1542] P1-fever relay/board/feverc_033 outcome=correct run=$0.007 sweep=$5.02
[210/1542] P1-fever relay/board/feverc_030 outcome=correct run=$0.008 sweep=$5.02
[211/1542] P1-fever relay/board/feverc_032 outcome=wrong_confident run=$0.008 sweep=$5.02
[212/1542] P1-fever relay/down/feverc_047 outcome=correct run=$0.042 sweep=$5.02
[213/1542] P1-fever relay/board/feverc_038 outcome=wrong_confident run=$0.006 sweep=$5.02
[214/1542] P1-fever relay/board/feverc_034 outcome=correct run=$0.007 sweep=$5.02
[215/1542] P1-fever relay/board/feverc_037 outcome=correct run=$0.007 sweep=$5.02
[216/1542] P1-fever relay/board/feverc_036 outcome=correct run=$0.009 sweep=$5.09
[217/1542] P1-fever relay/board/feverc_044 outcome=correct run=$0.006 sweep=$5.11
[218/1542] P1-fever relay/board/feverc_041 outcome=correct run=$0.006 sweep=$5.11
[219/1542] P1-fever relay/board/feverc_040 outcome=correct run=$0.006 sweep=$5.11
[220/1542] P1-fever relay/board/feverc_039 outcome=correct run=$0.007 sweep=$5.11
[221/1542] P1-fever relay/down/feverc_035 outcome=wrong_confident run=$0.081 sweep=$5.11
[222/1542] P1-fever relay/board/feverc_045 outcome=correct run=$0.006 sweep=$5.11
[223/1542] P1-fever relay/board/feverc_043 outcome=correct run=$0.007 sweep=$5.18
[224/1542] P1-fever relay/board/feverc_047 outcome=correct run=$0.006 sweep=$5.18
[225/1542] P1-fever relay/board/feverc_035 outcome=wrong_confident run=$0.012 sweep=$5.18
[226/1542] P1-fever relay/board/feverc_027 outcome=correct run=$0.012 sweep=$5.18
[227/1542] P1-fever relay/down/feverc_031 outcome=correct run=$0.076 sweep=$5.18
[228/1542] P1-fever relay/board/feverc_031 outcome=wrong_confident run=$0.011 sweep=$5.18
[229/1542] P1-fever relay/board/feverc_042 outcome=correct run=$0.008 sweep=$5.18
[230/1542] P1-fever relay/down/feverc_030 outcome=correct run=$0.088 sweep=$5.23
[231/1542] P1-fever relay/board/feverc_046 outcome=wrong_confident run=$0.013 sweep=$5.36
[232/1542] P1-fever relay/board/feverc_011 outcome=wrong_confident run=$0.039 sweep=$5.36
[233/1542] P1-fever relay/extract/feverc_000 outcome=correct run=$0.011 sweep=$5.40
[234/1542] P1-fever relay/extract/feverc_007 outcome=correct run=$0.010 sweep=$5.40
[235/1542] P1-fever relay/extract/feverc_001 outcome=correct run=$0.011 sweep=$5.40
[236/1542] P1-fever relay/extract/feverc_008 outcome=wrong_confident run=$0.010 sweep=$5.40
[237/1542] P1-fever relay/extract/feverc_013 outcome=correct run=$0.010 sweep=$5.40
[238/1542] P1-fever relay/extract/feverc_006 outcome=correct run=$0.009 sweep=$5.40
[239/1542] P1-fever relay/extract/feverc_020 outcome=wrong_confident run=$0.001 sweep=$5.40
[240/1542] P1-fever relay/extract/feverc_010 outcome=correct run=$0.011 sweep=$5.43
[241/1542] P1-fever relay/board/feverc_012 outcome=wrong_confident run=$0.043 sweep=$5.43
[242/1542] P1-fever relay/extract/feverc_022 outcome=correct run=$0.001 sweep=$5.43
[243/1542] P1-fever relay/extract/feverc_011 outcome=wrong_confident run=$0.012 sweep=$5.51
[244/1542] P1-fever relay/down/feverc_027 outcome=wrong_confident run=$0.105 sweep=$5.51
[245/1542] P1-fever relay/extract/feverc_014 outcome=wrong_confident run=$0.010 sweep=$5.53
[246/1542] P1-fever relay/extract/feverc_004 outcome=correct run=$0.014 sweep=$5.55
[247/1542] P1-fever relay/extract/feverc_023 outcome=wrong_confident run=$0.009 sweep=$5.55
[248/1542] P1-fever relay/extract/feverc_021 outcome=correct run=$0.010 sweep=$5.55
[249/1542] P1-fever relay/extract/feverc_017 outcome=wrong_confident run=$0.011 sweep=$5.62
[250/1542] P1-fever relay/board/feverc_018 outcome=correct run=$0.037 sweep=$5.62
[251/1542] P1-fever relay/extract/feverc_024 outcome=correct run=$0.012 sweep=$5.62
[252/1542] P1-fever relay/extract/feverc_015 outcome=correct run=$0.011 sweep=$5.65
[253/1542] P1-fever relay/extract/feverc_026 outcome=wrong_confident run=$0.010 sweep=$5.65
[254/1542] P1-fever relay/extract/feverc_028 outcome=correct run=$0.009 sweep=$5.67
[255/1542] P1-fever relay/board/feverc_029 outcome=wrong_confident run=$0.033 sweep=$5.67
[256/1542] P1-fever relay/extract/feverc_025 outcome=correct run=$0.013 sweep=$5.68
[257/1542] P1-fever relay/down/feverc_038 outcome=wrong_confident run=$0.084 sweep=$5.70
[258/1542] P1-fever relay/extract/feverc_037 outcome=correct run=$0.009 sweep=$5.76
[259/1542] P1-fever relay/extract/feverc_032 outcome=wrong_confident run=$0.011 sweep=$5.76
[260/1542] P1-fever relay/extract/feverc_033 outcome=correct run=$0.011 sweep=$5.78
[261/1542] P1-fever relay/extract/feverc_031 outcome=correct run=$0.013 sweep=$5.82
[262/1542] P1-fever relay/extract/feverc_039 outcome=correct run=$0.012 sweep=$5.88
[263/1542] P1-fever relay/down/feverc_040 outcome=correct run=$0.084 sweep=$5.88
[264/1542] P1-fever relay/board/feverc_019 outcome=correct run=$0.049 sweep=$5.88
[265/1542] P1-fever relay/extract/feverc_038 outcome=wrong_confident run=$0.009 sweep=$5.90
[266/1542] P1-fever relay/extract/feverc_044 outcome=correct run=$0.010 sweep=$5.92
[267/1542] P1-fever relay/extract/feverc_040 outcome=correct run=$0.011 sweep=$5.92
[268/1542] P1-fever relay/extract/feverc_012 outcome=wrong_confident run=$0.037 sweep=$5.92
[269/1542] P1-fever relay/extract/feverc_045 outcome=correct run=$0.011 sweep=$5.97
[270/1542] P1-fever relay/extract/feverc_046 outcome=wrong_confident run=$0.014 sweep=$6.05
[271/1542] P1-fever relay/extract/feverc_047 outcome=correct run=$0.010 sweep=$6.05
[272/1542] P1-fever relay/board_inert/feverc_001 outcome=correct run=$0.007 sweep=$6.10
[273/1542] P1-fever relay/board_inert/feverc_000 outcome=correct run=$0.009 sweep=$6.10
[274/1542] P1-fever relay/board_inert/feverc_006 outcome=correct run=$0.007 sweep=$6.13
[275/1542] P1-fever relay/board_inert/feverc_008 outcome=wrong_confident run=$0.007 sweep=$6.20
[276/1542] P1-fever relay/extract/feverc_002 outcome=wrong_confident run=$0.051 sweep=$6.23
[277/1542] P1-fever relay/extract/feverc_027 outcome=correct run=$0.037 sweep=$6.23
[278/1542] P1-fever relay/board_inert/feverc_009 outcome=correct run=$0.008 sweep=$6.23
[279/1542] P1-fever relay/board_inert/feverc_007 outcome=correct run=$0.009 sweep=$6.30
[280/1542] P1-fever relay/board_inert/feverc_010 outcome=correct run=$0.007 sweep=$6.30
[281/1542] P1-fever relay/board_inert/feverc_013 outcome=correct run=$0.007 sweep=$6.40
[282/1542] P1-fever relay/board_inert/feverc_003 outcome=correct run=$0.022 sweep=$6.40
[283/1542] P1-fever relay/board_inert/feverc_012 outcome=wrong_confident run=$0.007 sweep=$6.47
[284/1542] P1-fever relay/extract/feverc_009 outcome=correct run=$0.046 sweep=$6.47
[285/1542] P1-fever relay/extract/feverc_019 outcome=correct run=$0.049 sweep=$6.47
[286/1542] P1-fever relay/extract/feverc_034 outcome=correct run=$0.035 sweep=$6.47
[287/1542] P1-fever relay/board_inert/feverc_015 outcome=correct run=$0.008 sweep=$6.47
[288/1542] P1-fever relay/extract/feverc_003 outcome=wrong_confident run=$0.050 sweep=$6.50
[289/1542] P1-fever relay/board_inert/feverc_011 outcome=wrong_confident run=$0.009 sweep=$6.50
[290/1542] P1-fever relay/board_inert/feverc_022 outcome=correct run=$0.006 sweep=$6.52
[291/1542] P1-fever relay/board_inert/feverc_020 outcome=wrong_confident run=$0.007 sweep=$6.52
[292/1542] P1-fever relay/extract/feverc_035 outcome=wrong_confident run=$0.040 sweep=$6.54
[293/1542] P1-fever relay/board_inert/feverc_023 outcome=wrong_confident run=$0.007 sweep=$6.54
[294/1542] P1-fever relay/board_inert/feverc_024 outcome=correct run=$0.007 sweep=$6.58
[295/1542] P1-fever relay/extract/feverc_018 outcome=correct run=$0.038 sweep=$6.58
[296/1542] P1-fever relay/extract/feverc_005 outcome=wrong_confident run=$0.047 sweep=$6.60
[297/1542] P1-fever relay/board_inert/feverc_025 outcome=correct run=$0.008 sweep=$6.60
[298/1542] P1-fever relay/down/feverc_046 outcome=wrong_confident run=$0.113 sweep=$6.60
[299/1542] P1-fever relay/board_inert/feverc_028 outcome=correct run=$0.006 sweep=$6.60
[300/1542] P1-fever relay/extract/feverc_041 outcome=correct run=$0.035 sweep=$6.60
